team,team_salary,win_pct,team_rank
ATL,95563799,0.524,11
BOS,93035160,0.646,4
BRK,83392086,0.244,30
CHI,98033386,0.5,15
CHO,102038983,0.439,20
CLE,127570596,0.622,5
DAL,103564162,0.402,22
DEN,83412368,0.488,18
DET,107816498,0.451,19
GSW,99993852,0.817,1
HOU,91030536,0.671,3
IND,94002004,0.512,13
LAC,118661756,0.622,5
LAL,94204119,0.317,28
MEM,110966428,0.524,11
MIA,101820404,0.5,15
MIL,101360056,0.512,13
MIN,83666820,0.378,24
NOP,101408319,0.415,21
NYK,102613251,0.378,24
OKC,96276478,0.573,10
ORL,104300318,0.354,26
PHI,85143679,0.341,27
PHO,85118686,0.293,29
POR,112845578,0.5,15
SAC,95667033,0.39,23
SAS,108372142,0.744,2
TOR,111532301,0.622,5
UTA,80498192,0.622,5
WAS,102337717,0.598,9
